window_start,window_end,country,browser,events
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,US,Edge,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,US,Chrome,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,GB,Firefox,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,SG,Firefox,2
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,AU,Chrome,4
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,GB,Safari,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,AE,Firefox,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,CA,Safari,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,IN,Chrome,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,CA,Chrome,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,GB,Edge,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,AU,Edge,5
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,BR,Firefox,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,AE,Safari,4
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,AE,Chrome,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,CA,Edge,2
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,FR,Chrome,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,AE,Edge,2
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,BR,Chrome,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,SG,Safari,2
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,FR,Edge,4
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,DE,Edge,2
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,AU,Safari,4
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,IN,Firefox,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,DE,Chrome,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,US,Firefox,4
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,FR,Firefox,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,SG,Edge,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,DE,Firefox,4
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,DE,Safari,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,IN,Safari,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,CA,Firefox,3
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,US,Safari,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,BR,Edge,2
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,FR,Safari,1
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,GB,Chrome,2
2025-11-08T07:28:30.000Z,2025-11-08T07:29:00.000Z,IN,Edge,1
