user_id,session_start,session_end,events_in_session,distinct_pages,session_revenue
user_2262,2025-11-08T07:28:55.599Z,2025-11-08T07:29:25.599Z,1,1,0.0
user_1119,2025-11-08T07:28:53.557Z,2025-11-08T07:29:23.557Z,1,1,0.0
user_3715,2025-11-08T07:28:59.455Z,2025-11-08T07:29:29.455Z,1,1,0.0
user_1800,2025-11-08T07:28:53.963Z,2025-11-08T07:29:23.963Z,1,1,0.0
user_4041,2025-11-08T07:28:58.240Z,2025-11-08T07:29:28.240Z,1,1,0.0
user_33,2025-11-08T07:28:51.111Z,2025-11-08T07:29:21.111Z,1,1,0.0
user_766,2025-11-08T07:28:55.805Z,2025-11-08T07:29:25.805Z,1,1,0.0
user_1605,2025-11-08T07:28:57.428Z,2025-11-08T07:29:27.428Z,1,1,0.0
user_706,2025-11-08T07:28:51.715Z,2025-11-08T07:29:21.715Z,1,1,0.0
user_2324,2025-11-08T07:28:59.252Z,2025-11-08T07:29:29.252Z,1,1,0.0
user_3684,2025-11-08T07:28:54.779Z,2025-11-08T07:29:24.779Z,1,1,0.0
user_2254,2025-11-08T07:28:50.709Z,2025-11-08T07:29:20.709Z,1,1,122.2
user_1796,2025-11-08T07:28:52.945Z,2025-11-08T07:29:22.945Z,1,1,0.0
user_1032,2025-11-08T07:28:54.169Z,2025-11-08T07:29:24.169Z,1,1,20.3
user_88,2025-11-08T07:28:56.212Z,2025-11-08T07:29:26.212Z,1,1,0.0
user_3626,2025-11-08T07:28:56.006Z,2025-11-08T07:29:26.006Z,1,1,0.0
user_3856,2025-11-08T07:28:51.919Z,2025-11-08T07:29:21.919Z,1,1,0.0
user_3966,2025-11-08T07:28:56.617Z,2025-11-08T07:29:26.617Z,1,1,0.0
user_3757,2025-11-08T07:28:58.038Z,2025-11-08T07:29:28.038Z,1,1,0.0
user_3612,2025-11-08T07:28:58.442Z,2025-11-08T07:29:28.442Z,1,1,0.0
user_2157,2025-11-08T07:28:50.508Z,2025-11-08T07:29:20.508Z,1,1,0.0
user_2689,2025-11-08T07:28:50.302Z,2025-11-08T07:29:20.302Z,1,1,0.0
user_75,2025-11-08T07:28:54.576Z,2025-11-08T07:29:24.576Z,1,1,0.0
user_4502,2025-11-08T07:28:51.312Z,2025-11-08T07:29:21.312Z,1,1,0.0
user_1899,2025-11-08T07:28:57.836Z,2025-11-08T07:29:27.836Z,1,1,0.0
user_3049,2025-11-08T07:28:58.646Z,2025-11-08T07:29:28.646Z,1,1,0.0
user_4555,2025-11-08T07:28:52.124Z,2025-11-08T07:29:22.124Z,1,1,0.0
user_2872,2025-11-08T07:28:57.630Z,2025-11-08T07:29:27.630Z,1,1,0.0
user_894,2025-11-08T07:28:50.910Z,2025-11-08T07:29:20.910Z,1,1,0.0
user_883,2025-11-08T07:28:55.393Z,2025-11-08T07:29:25.393Z,1,1,0.0
user_4557,2025-11-08T07:28:53.759Z,2025-11-08T07:29:23.759Z,1,1,0.0
user_1898,2025-11-08T07:28:57.024Z,2025-11-08T07:29:27.024Z,1,1,0.0
user_2440,2025-11-08T07:28:52.538Z,2025-11-08T07:29:22.538Z,1,1,0.0
user_2538,2025-11-08T07:28:54.985Z,2025-11-08T07:29:24.985Z,1,1,0.0
user_4895,2025-11-08T07:28:52.744Z,2025-11-08T07:29:22.744Z,1,1,0.0
user_1778,2025-11-08T07:28:57.226Z,2025-11-08T07:29:27.226Z,1,1,0.0
user_765,2025-11-08T07:28:56.818Z,2025-11-08T07:29:26.818Z,1,1,0.0
user_2551,2025-11-08T07:28:56.416Z,2025-11-08T07:29:26.416Z,1,1,0.0
user_440,2025-11-08T07:28:58.847Z,2025-11-08T07:29:28.847Z,1,1,0.0
user_4589,2025-11-08T07:28:52.332Z,2025-11-08T07:29:22.332Z,1,1,0.0
user_4234,2025-11-08T07:28:55.191Z,2025-11-08T07:29:25.191Z,1,1,0.0
user_202,2025-11-08T07:28:54.375Z,2025-11-08T07:29:24.375Z,1,1,0.0
user_496,2025-11-08T07:28:59.660Z,2025-11-08T07:29:29.660Z,1,1,112.3
user_4122,2025-11-08T07:28:50.094Z,2025-11-08T07:29:20.094Z,1,1,0.0
user_2718,2025-11-08T07:28:53.355Z,2025-11-08T07:29:23.355Z,1,1,0.0
user_903,2025-11-08T07:28:53.150Z,2025-11-08T07:29:23.150Z,1,1,0.0
user_148,2025-11-08T07:28:51.514Z,2025-11-08T07:29:21.514Z,1,1,0.0
