user_id,session_start,session_end,events_in_session,distinct_pages,session_revenue
user_1342,2025-11-08T07:29:00.471Z,2025-11-08T07:29:30.471Z,1,1,0.0
user_3298,2025-11-08T07:29:01.483Z,2025-11-08T07:29:31.483Z,1,1,0.0
user_3828,2025-11-08T07:29:04.536Z,2025-11-08T07:29:34.536Z,1,1,0.0
user_2209,2025-11-08T07:29:06.369Z,2025-11-08T07:29:36.369Z,1,1,0.0
user_1055,2025-11-08T07:29:09.618Z,2025-11-08T07:29:39.618Z,1,1,0.0
user_2085,2025-11-08T07:29:02.503Z,2025-11-08T07:29:32.503Z,1,1,0.0
user_2719,2025-11-08T07:29:01.075Z,2025-11-08T07:29:31.075Z,1,1,0.0
user_181,2025-11-08T07:29:00.063Z,2025-11-08T07:29:30.063Z,1,1,0.0
user_1124,2025-11-08T07:29:07.183Z,2025-11-08T07:29:37.183Z,1,1,0.0
user_1902,2025-11-08T07:29:02.095Z,2025-11-08T07:29:32.095Z,1,1,0.0
user_1830,2025-11-08T07:29:01.686Z,2025-11-08T07:29:31.686Z,1,1,0.0
user_612,2025-11-08T07:29:09.416Z,2025-11-08T07:29:39.416Z,1,1,0.0
user_4264,2025-11-08T07:29:01.280Z,2025-11-08T07:29:31.280Z,1,1,0.0
user_1279,2025-11-08T07:29:03.719Z,2025-11-08T07:29:33.719Z,1,1,0.0
user_4045,2025-11-08T07:29:00.873Z,2025-11-08T07:29:30.873Z,1,1,0.0
user_1454,2025-11-08T07:29:07.796Z,2025-11-08T07:29:37.796Z,1,1,0.0
user_1372,2025-11-08T07:29:00.672Z,2025-11-08T07:29:30.672Z,1,1,0.0
user_4116,2025-11-08T07:29:07.388Z,2025-11-08T07:29:37.388Z,1,1,0.0
user_4595,2025-11-08T07:29:05.348Z,2025-11-08T07:29:35.348Z,1,1,0.0
user_3067,2025-11-08T07:29:06.576Z,2025-11-08T07:29:36.576Z,1,1,0.0
user_2373,2025-11-08T07:29:08.199Z,2025-11-08T07:29:38.199Z,1,1,0.0
user_191,2025-11-08T07:29:09.213Z,2025-11-08T07:29:39.213Z,1,1,0.0
user_3243,2025-11-08T07:29:03.923Z,2025-11-08T07:29:33.923Z,1,1,0.0
user_2672,2025-11-08T07:29:03.518Z,2025-11-08T07:29:33.518Z,1,1,0.0
user_35,2025-11-08T07:29:08.610Z,2025-11-08T07:29:38.610Z,1,1,0.0
user_4625,2025-11-08T07:29:09.012Z,2025-11-08T07:29:39.012Z,1,1,0.0
user_4911,2025-11-08T07:29:03.114Z,2025-11-08T07:29:33.114Z,1,1,0.0
user_458,2025-11-08T07:29:02.913Z,2025-11-08T07:29:32.913Z,1,1,0.0
user_3026,2025-11-08T07:29:08.402Z,2025-11-08T07:29:38.402Z,1,1,0.0
user_3004,2025-11-08T07:28:59.862Z,2025-11-08T07:29:36.777Z,2,2,0.0
user_2913,2025-11-08T07:29:07.590Z,2025-11-08T07:29:37.590Z,1,1,0.0
user_3464,2025-11-08T07:29:02.296Z,2025-11-08T07:29:32.296Z,1,1,0.0
user_3135,2025-11-08T07:29:02.709Z,2025-11-08T07:29:32.709Z,1,1,0.0
user_2528,2025-11-08T07:29:00.269Z,2025-11-08T07:29:30.269Z,1,1,0.0
user_1653,2025-11-08T07:29:08.811Z,2025-11-08T07:29:38.811Z,1,1,0.0
user_845,2025-11-08T07:29:05.147Z,2025-11-08T07:29:35.147Z,1,1,0.0
user_2060,2025-11-08T07:29:04.334Z,2025-11-08T07:29:34.334Z,1,1,0.0
user_1502,2025-11-08T07:29:03.316Z,2025-11-08T07:29:33.316Z,1,1,0.0
user_2705,2025-11-08T07:29:06.163Z,2025-11-08T07:29:36.163Z,1,1,0.0
user_3272,2025-11-08T07:29:05.754Z,2025-11-08T07:29:35.754Z,1,1,0.0
user_3752,2025-11-08T07:29:05.958Z,2025-11-08T07:29:35.958Z,1,1,0.0
user_4174,2025-11-08T07:29:04.941Z,2025-11-08T07:29:34.941Z,1,1,0.0
user_4032,2025-11-08T07:29:07.997Z,2025-11-08T07:29:37.997Z,1,1,0.0
user_4449,2025-11-08T07:29:01.889Z,2025-11-08T07:29:31.889Z,1,1,0.0
user_4048,2025-11-08T07:29:06.978Z,2025-11-08T07:29:36.978Z,1,1,0.0
user_4223,2025-11-08T07:29:09.819Z,2025-11-08T07:29:39.819Z,1,1,0.0
